City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,charters towers,-20.1,146.2667,24.41,88,92,3.21,AU,1675716247
169,lagoa,39.05,-27.9833,13.28,73,100,11.95,PT,1675716248
170,abancay,-13.6339,-72.8814,18.97,69,78,2.64,PE,1675716248
171,berlevag,70.8578,29.0864,4.0,81,100,12.86,NO,1675716249
172,solnechnyy,50.7214,136.6319,-22.11,98,100,1.32,RU,1675716250
173,katsuura,35.1333,140.3,9.79,69,100,3.46,JP,1675716017
174,sungairaya,0.7,108.9,25.72,87,100,1.7,ID,1675716250
175,boke,10.9409,-14.2967,23.21,53,51,2.11,GN,1675716250
176,longhua,23.6137,114.1919,19.08,95,98,0.56,CN,1675716251
177,kavieng,-2.5744,150.7967,27.32,80,100,5.13,PG,1675716251
178,anloga,5.7947,0.8973,27.28,86,55,6.99,GH,1675716252
179,cayenne,4.9333,-52.3333,26.02,83,100,6.17,GF,1675716255
180,guarapari,-20.6667,-40.4975,27.72,88,53,4.85,BR,1675716255
181,dikson,73.5069,80.5464,-28.92,100,100,2.7,RU,1675716025
182,rio grande,-32.035,-52.0986,32.06,65,0,4.92,BR,1675716089
183,pandan,14.0453,124.1694,24.56,90,84,3.78,PH,1675716256
184,kalmunai,7.4167,81.8167,24.51,87,56,2.91,LK,1675716256
185,neuquen,-38.9516,-68.0591,32.94,27,0,0.0,AR,1675715973
186,tianpeng,30.9866,103.9393,13.18,63,100,1.88,CN,1675716257
187,qasigiannguit,68.8193,-51.1922,-19.86,99,100,1.46,GL,1675716257
188,ende,-8.8432,121.6623,25.16,88,99,2.67,ID,1675716258
189,yulara,-25.2406,130.9889,22.15,24,0,3.15,AU,1675716258
190,lebu,-37.6167,-73.65,16.9,71,0,8.6,CL,1675716259
191,ust-kulom,61.6864,53.6902,-24.11,100,100,0.63,RU,1675716259
192,port blair,11.6667,92.75,25.41,81,26,2.29,IN,1675715978
193,samarai,-10.6167,150.6667,25.43,88,100,4.29,PG,1675716260
194,carballo,43.213,-8.691,9.37,71,0,2.55,ES,1675716260
195,carutapera,-1.195,-46.02,24.85,93,99,2.85,BR,1675716260
196,kristiansund,63.1115,7.732,8.03,81,75,1.03,NO,1675716261
197,xining,36.6167,101.7667,-4.05,46,100,1.34,CN,1675716261
198,san patricio,28.017,-97.5169,26.97,56,13,9.17,US,1675716262
199,port augusta,-32.5,137.7667,21.81,46,0,3.11,AU,1675716262
200,khandbari,27.3747,87.2039,11.86,78,67,0.81,NP,1675716262
201,manica,49.0,-1.1667,1.77,83,6,2.94,FR,1675716263
202,tasiilaq,65.6145,-37.6368,-10.91,91,99,1.72,GL,1675716263
203,quelimane,-17.8786,36.8883,27.97,83,75,1.03,MZ,1675716264
204,pineto,42.6097,14.066,4.97,54,92,3.19,IT,1675716264
205,balkhash,46.844,74.9804,-15.6,98,96,1.54,KZ,1675716264
206,magadan,59.5667,150.8,-27.36,79,65,3.71,RU,1675716265
207,vondrozo,-22.8167,47.2833,19.16,99,100,0.16,MG,1675716265
208,antofagasta,-23.65,-70.4,23.6,74,19,4.04,CL,1675715967
209,villaviciosa,43.4813,-5.4357,8.87,81,26,4.56,ES,1675716266
210,remanso,-9.6179,-42.0831,29.14,51,100,1.51,BR,1675716266
211,aberdeen,57.1437,-2.0981,6.78,87,73,1.54,GB,1675716266
212,aklavik,68.2191,-135.0107,-35.0,68,75,0.0,CA,1675716159
213,minnedosa,50.2453,-99.8436,-0.69,86,100,9.59,CA,1675716267
214,haines junction,60.7522,-137.5108,2.97,30,76,2.57,CA,1675716267
215,poltar,48.4309,19.7941,-6.93,84,5,1.85,SK,1675716268
216,san matias,-16.3667,-58.4,27.06,71,96,1.98,BO,1675716268
217,soyo,-6.1349,12.3689,26.7,82,67,2.64,AO,1675716269
218,shingu,33.7333,135.9833,8.62,56,100,2.26,JP,1675715974
219,mahebourg,-20.4081,57.7,27.16,78,75,3.6,MU,1675716269
220,columbus,39.9612,-82.9988,4.26,72,100,1.54,US,1675716195
221,carbonia,39.1672,8.5222,8.36,75,100,6.77,IT,1675716270
222,huarmey,-10.0681,-78.1522,24.79,74,59,3.49,PE,1675716270
223,sorland,67.667,12.6934,7.92,90,100,18.87,NO,1675716270
224,gotsu,35.0,132.2167,6.34,76,100,3.45,JP,1675716271
225,iqaluit,63.7506,-68.5145,-31.15,62,40,5.66,CA,1675716271
